cell_type	stimulus	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119
Luminance	lumi_ipsi_dots_ipsi	0.3073853427117149	0.3057897638019096	0.3044942553197636	0.3034423850545667	0.3025883342526621	0.3018949044606072	0.3013319125269019	0.3008749630294582	0.3005048805208822	0.3002096829719989	0.3	0.3	0.2999999999999999	0.2999999999999999	0.3	0.3	0.3	0.2999999999999999	0.3	0.3	0.4086184686100301	0.5159487933342993	0.6064665667255762	0.6805554651020338	0.7408156401072469	0.789761515991469	0.8295057025101465	0.8617760249143993	0.8879775735100361	0.9092515809252056	0.9265247239076428	0.9405494170595264	0.9519365752704484	0.9611822229184076	0.9686891002905084	0.9747842068755456	0.9797330454456932	0.9837511873520444	0.987013662809805	0.9896625852123856	0.9918133415891736	0.9935596188632032	0.9949774848524446	0.9961287017830804	0.997063416651368	0.9978223456262176	0.998438547645045	0.9989388644607023	0.999345089867925	0.999674919040779	0.9999427193342398	0.9999899068998755	0.9999982215522678	0.9999996866298464	0.9999999447828284	0.9999999902704964	0.9999999982856194	0.9999999996979188	0.999999999946772	0.9999999999906208	0.9999999999983472	0.9999999999997088	0.9999999999999488	0.9999999999999908	0.9999999999999982	0.9999999999999996	0.9999999999999998	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8913815313899697	0.7840512066657005	0.6935334332744237	0.619444534897966	0.559184359892753	0.510238484008531	0.4704942974898533	0.4382239750856005	0.4120224264899635	0.3907484190747942	0.373475276092357	0.3594505829404734	0.3480634247295516	0.3388177770815924	0.3313108997094912	0.3252157931244542	0.3202669545543068	0.3162488126479555	0.3129863371901949	0.3103374147876142
Luminance	lumi_ipsi_dots_off	0.3081866584108261	0.3064403811367966	0.3050225151475552	0.3038712982169193	0.302936583348632	0.3021776543737822	0.3015614523549547	0.3010611355392973	0.3006549101320748	0.3003250809592209	0.3000572806657601	0.3000100931001243	0.3000017784477321	0.3000003133701535	0.3000000552171713	0.3000000097295034	0.3000000017143804	0.3000000003020812	0.3000000000532279	0.300000000009379	0.4086184686116828	0.5159487933345905	0.6064665667256275	0.6805554651020429	0.7408156401072485	0.7897615159914693	0.8295057025101467	0.8617760249143993	0.8879775735100361	0.9092515809252056	0.9265247239076428	0.9405494170595264	0.9519365752704484	0.9611822229184076	0.9686891002905084	0.9747842068755456	0.9797330454456932	0.9837511873520444	0.987013662809805	0.9896625852123856	0.9918133415891736	0.9935596188632032	0.9949774848524446	0.9961287017830804	0.997063416651368	0.9978223456262176	0.998438547645045	0.9989388644607023	0.999345089867925	0.999674919040779	0.9999427193342398	0.9999899068998755	0.9999982215522678	0.9999996866298464	0.9999999447828284	0.9999999902704964	0.9999999982856194	0.9999999996979188	0.999999999946772	0.9999999999906208	0.9999999999983472	0.9999999999997088	0.9999999999999488	0.9999999999999908	0.9999999999999982	0.9999999999999996	0.9999999999999998	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8913815313899697	0.7840512066657005	0.6935334332744237	0.619444534897966	0.559184359892753	0.510238484008531	0.4704942974898533	0.4382239750856005	0.4120224264899635	0.3907484190747942	0.373475276092357	0.3594505829404734	0.3480634247295516	0.3388177770815924	0.3313108997094912	0.3252157931244542	0.3202669545543068	0.3162488126479555	0.3129863371901949	0.3103374147876142
Luminance	lumi_contra_dots_contra	0.2964914321096458	0.2972398366556585	0.2978474935081905	0.2983408721927488	0.2987414642791576	0.2990667195540933	0.2993308061335907	0.2995452276260153	0.2997193242291107	0.2998606795889053	0.2999754511432456	0.299995674385661	0.2999992378081147	0.2999998656985055	0.2999999763354979	0.2999999958302127	0.2999999992652655	0.2999999998705366	0.2999999999771879	0.2999999999959803	0.2534492277378501	0.2074505171423182	0.1686571856890167	0.136904800670553	0.1110790113826076	0.0901022074322274	0.0730689846385085	0.0592388464652573	0.0480096113528415	0.0388921796034832	0.0314894040395815	0.0254788212602029	0.0205986105983792	0.0166361901778253	0.0134189570183533	0.0108067684819089	0.0086858376661315	0.0069637768491238	0.0055655730815121	0.0044303206232632	0.003508567890354	0.0027601633443414	0.0021525064918094	0.0016591278072511	0.0012585357208423	0.0009332804459066	0.0006691938664092	0.0004547723739846	0.0002806757708892	0.0001393204110947	2.454885675434802e-05	4.325614338991703e-06	7.621918852240081e-07	1.3430149439460734e-07	2.3664502005717e-08	4.169787221675687e-09	7.347344757075131e-10	1.2946338052622583e-10	2.281200549509866e-11	4.0195736631717184e-12	7.082661994419052e-13	1.2479955619863544e-13	2.1990219552482185e-14	3.874771439010969e-15	6.827514235497584e-16	1.2030374270122663e-16	2.119803780653108e-17	3.7351855733030454e-18	6.581557696118462e-19	1.1596986418199789e-19	2.043437517509964e-20	3.6006134120907515e-21	6.344345339516191e-22	1.1178304798447455e-22	1.969123882274177e-23	3.4655925256997524e-24	6.0764141053919035e-25	1.0493311473017615e-25	1.706419552407185e-26	2.1581524145800485e-27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0465507722614415	0.0925494828575568	0.1313428143109612	0.163095199329443	0.1889209886173916	0.2098977925677724	0.2269310153614913	0.2407611535347425	0.2519903886471584	0.2611078203965167	0.2685105959604184	0.2745211787397971	0.2794013894016207	0.2833638098221746	0.2865810429816465	0.2891932315180909	0.2913141623338684	0.2930362231508762	0.2944344269184878	0.2955696793767367
Luminance	lumi_contra_dots_off	0.2964914321096458	0.2972398366556585	0.2978474935081905	0.2983408721927488	0.2987414642791576	0.2990667195540933	0.2993308061335907	0.2995452276260153	0.2997193242291107	0.2998606795889053	0.2999754511432456	0.299995674385661	0.2999992378081147	0.2999998656985055	0.2999999763354979	0.2999999958302127	0.2999999992652655	0.2999999998705366	0.2999999999771879	0.2999999999959803	0.2534492277378501	0.2074505171423182	0.1686571856890167	0.136904800670553	0.1110790113826076	0.0901022074322274	0.0730689846385085	0.0592388464652573	0.0480096113528415	0.0388921796034832	0.0314894040395815	0.0254788212602029	0.0205986105983792	0.0166361901778253	0.0134189570183533	0.0108067684819089	0.0086858376661315	0.0069637768491238	0.0055655730815121	0.0044303206232632	0.003508567890354	0.0027601633443414	0.0021525064918094	0.0016591278072511	0.0012585357208423	0.0009332804459066	0.0006691938664092	0.0004547723739846	0.0002806757708892	0.0001393204110947	2.454885675434802e-05	4.325614338991703e-06	7.621918852240081e-07	1.3430149439460734e-07	2.3664502005717e-08	4.169787221675687e-09	7.347344757075131e-10	1.2946338052622583e-10	2.281200549509866e-11	4.0195736631717184e-12	7.082661994419052e-13	1.2479955619863544e-13	2.1990219552482185e-14	3.874771439010969e-15	6.827514235497584e-16	1.2030374270122663e-16	2.119803780653108e-17	3.7351855733030454e-18	6.581557696118462e-19	1.1596986418199789e-19	2.043437517509964e-20	3.6006134120907515e-21	6.344345339516191e-22	1.1178304798447455e-22	1.969123882274177e-23	3.4655925256997524e-24	6.0764141053919035e-25	1.0493311473017615e-25	1.706419552407185e-26	2.1581524145800485e-27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0465507722614415	0.0925494828575568	0.1313428143109612	0.163095199329443	0.1889209886173916	0.2098977925677724	0.2269310153614913	0.2407611535347425	0.2519903886471584	0.2611078203965167	0.2685105959604184	0.2745211787397971	0.2794013894016207	0.2833638098221746	0.2865810429816465	0.2891932315180909	0.2913141623338684	0.2930362231508762	0.2944344269184878	0.2955696793767367
Luminance	lumi_off_dots_ipsi	0.2964914321096458	0.2972398366556585	0.2978474935081905	0.2983408721927488	0.2987414642791576	0.2990667195540933	0.2993308061335907	0.2995452276260153	0.2997193242291107	0.2998606795889053	0.2999754511432456	0.299995674385661	0.2999992378081147	0.2999998656985055	0.2999999763354979	0.2999999958302127	0.2999999992652655	0.2999999998705366	0.2999999999771879	0.2999999999959803	0.2999999999992916	0.2999999999998751	0.2999999999999779	0.2999999999999961	0.2999999999999992	0.2999999999999998	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999
Luminance	lumi_off_dots_contra	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999	0.2999999999999999
Bright	lumi_ipsi_dots_ipsi	0.0006879327831714	0.0007277455222063	0.0007085048883381	0.0006563216329887	0.0005880298026461	0.0005142018559967	0.0004412270485706	0.0003727368270587	0.0003105763106021	0.0002554613026734	0.0002074183166756	0.0001684104701663	0.0001367385818004	0.0001110230244849	9.014362883897072e-05	7.319088862833609e-05	5.942634268447243e-05	4.825040754438926e-05	3.917625960193365e-05	3.180862907710592e-05	2.5826582068926136e-05	2.09643790420153e-05	1.7009299669072935e-05	1.3787759186367804e-05	1.115759160867217e-05	9.001637754174209e-06	7.222332593210377e-06	5.737019220468686e-06	4.473733247579711e-06	3.3672005305717423e-06	2.35477029354544e-06	1.5327413861618817e-06	9.793023445533947e-07	6.107699913298366e-07	3.688512391516137e-07	2.130594531044597e-07	1.1537430545442789e-07	5.648538529817984e-08	2.3153099829437043e-08	6.357193659655934e-09	3.7087834766625865e-18	2.9120971246816108e-18	2.2652385190261e-18	1.7400305062740694e-18	1.31359503143115e-18	9.673565701181789e-19	6.86232978942907e-19	4.579785175073122e-19	2.7265042409671403e-19	1.221758090938494e-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2425034058076676	0.3688334850085605	0.4213722470735256	0.4285560862119122	0.4092371106386158	0.3757183381829964	0.3358593728275068	0.2945317499855854	0.2546202604823978	0.2177081096937249	0.1845425740619378	0.1553488130033677	0.1300390947301915	0.1083503648724772	0.0899330355821295	0.074406834622719	0.0613946354502499	0.0505417601954776	0.0415258634295387	0.0340608526467806
Bright	lumi_ipsi_dots_off	0.0278971612921853	0.0228199070993928	0.0186459338378883	0.0152203721536231	0.0124131117675233	0.0101154156994908	0.0082368015352682	0.006702247091933	0.005449735747987	0.0044281316385493	0.0035953610228778	0.0025391030283632	0.0017920962941956	0.0012639967403508	0.000890816130992	0.0006272403029522	0.0004411850478411	0.0003099380775979	0.0002174251844947	0.0001522731775772	0.0001064375066403	7.423006417160949e-05	5.163056200785958e-05	3.579883887116192e-05	2.4729527118017583e-05	1.7007570036414893e-05	1.163517527651938e-05	7.909362023524097e-06	5.335334792941719e-06	3.565222221894201e-06	2.35477029354544e-06	1.5327413861618817e-06	9.793023445533947e-07	6.107699913298366e-07	3.688512391516137e-07	2.130594531044597e-07	1.1537430545442789e-07	5.648538529817984e-08	2.3153099829437043e-08	6.357193659655934e-09	3.7087834766625865e-18	2.9120971246816108e-18	2.2652385190261e-18	1.7400305062740694e-18	1.31359503143115e-18	9.673565701181789e-19	6.86232978942907e-19	4.579785175073122e-19	2.7265042409671403e-19	1.221758090938494e-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2425034058076676	0.3688334850085605	0.4213722470735256	0.4285560862119122	0.4092371106386158	0.3757183381829964	0.3358593728275068	0.2945317499855854	0.2546202604823978	0.2177081096937249	0.1845425740619378	0.1553488130033677	0.1300390947301915	0.1083503648724772	0.0899330355821295	0.074406834622719	0.0613946354502499	0.0505417601954776	0.0415258634295387	0.0340608526467806
Bright	lumi_contra_dots_contra	1.4835133906650346e-17	1.1648388498726445e-17	9.0609540761044e-18	6.960122025096277e-18	5.254380125724601e-18	3.869426280472716e-18	2.744931915771628e-18	1.8319140700292487e-18	1.0906016963868561e-18	4.887032363753976e-19	6.328863597484502e-17	1.146749798211183e-16	1.5639742008570166e-16	1.9027338578661555e-16	2.1777851360013983e-16	2.401109265774589e-16	2.582434243709904e-16	2.7296585837605487e-16	2.8491953764857075e-16	2.946251643201538e-16	0.5658412802178916	0.860611465019975	0.9832019098382268	0.999964201161129	0.9548865914901042	0.8766761224269923	0.7836718699308497	0.6872407499663669	0.5941139411255959	0.5079855892853589	0.4305993394778555	0.3624805636745253	0.3034245543704476	0.2528175180357811	0.2098437496916364	0.1736159474530116	0.1432541493839171	0.1179307737894486	0.096893681335591	0.0794753228424888	0.0650933763484331	0.0532464498985841	0.0435071789550736	0.0355142016917881	0.0289639274575551	0.0236026366321459	0.0192192035822931	0.0156385765478443	0.0127160500786372	0.010332307156616	0.0083891757200491	0.0059245737328484	0.0041815580197906	0.0029493257274858	0.0020785709723155	0.0014635607068893	0.0010294317782965	0.0007231888477292	0.0005073254304883	0.0003553040810141	0.0002483541821615	0.0001732034830679	0.0001204713113526	8.353062403372916e-05	5.77022299431204e-05	3.968433008609746e-05	2.7148742313048688e-05	1.8455178056092564e-05	1.2449114518093629e-05	8.318851852337967e-06	5.4944640195415815e-06	3.5763965689942697e-06	2.2850388052525346e-06	1.4251299810737505e-06	8.606528926656926e-07	4.971387252285972e-07	2.692067140504074e-07	1.317992336898664e-07	5.402390093271209e-08	1.4833453205791861e-08	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.0908465047122728e-15	8.853011293271796e-16	7.184113682688463e-16	5.829075054651907e-16	4.728869942110938e-16	3.8355734230181714e-16	3.1102735112769114e-16	2.521376151074334e-16	2.0432289801737e-16	1.6550039133103764e-16	1.3397898710372832e-16	1.0838561332986958e-16	8.76054229422552e-17	7.073323108662108e-17	5.703408527980501e-17	4.591125088803396e-17	3.6880217373140756e-17	2.9547593019094446e-17	2.359396879337492e-17	1.8760004893190308e-17
Bright	lumi_contra_dots_off	1.4835133906650346e-17	1.1648388498726445e-17	9.0609540761044e-18	6.960122025096277e-18	5.254380125724601e-18	3.869426280472716e-18	2.744931915771628e-18	1.8319140700292487e-18	1.0906016963868561e-18	4.887032363753976e-19	6.328863597484502e-17	1.146749798211183e-16	1.5639742008570166e-16	1.9027338578661555e-16	2.1777851360013983e-16	2.401109265774589e-16	2.582434243709904e-16	2.7296585837605487e-16	2.8491953764857075e-16	2.946251643201538e-16	0.5658412802178916	0.860611465019975	0.9832019098382268	0.999964201161129	0.9548865914901042	0.8766761224269923	0.7836718699308497	0.6872407499663669	0.5941139411255959	0.5079855892853589	0.4305993394778555	0.3624805636745253	0.3034245543704476	0.2528175180357811	0.2098437496916364	0.1736159474530116	0.1432541493839171	0.1179307737894486	0.096893681335591	0.0794753228424888	0.0650933763484331	0.0532464498985841	0.0435071789550736	0.0355142016917881	0.0289639274575551	0.0236026366321459	0.0192192035822931	0.0156385765478443	0.0127160500786372	0.010332307156616	0.0083891757200491	0.0059245737328484	0.0041815580197906	0.0029493257274858	0.0020785709723155	0.0014635607068893	0.0010294317782965	0.0007231888477292	0.0005073254304883	0.0003553040810141	0.0002483541821615	0.0001732034830679	0.0001204713113526	8.353062403372916e-05	5.77022299431204e-05	3.968433008609746e-05	2.7148742313048688e-05	1.8455178056092564e-05	1.2449114518093629e-05	8.318851852337967e-06	5.4944640195415815e-06	3.5763965689942697e-06	2.2850388052525346e-06	1.4251299810737505e-06	8.606528926656926e-07	4.971387252285972e-07	2.692067140504074e-07	1.317992336898664e-07	5.402390093271209e-08	1.4833453205791861e-08	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.3440010486116529e-15	1.0908465047122728e-15	8.853011293271796e-16	7.184113682688463e-16	5.829075054651907e-16	4.728869942110938e-16	3.8355734230181714e-16	3.1102735112769114e-16	2.521376151074334e-16	2.0432289801737e-16	1.6550039133103764e-16	1.3397898710372832e-16	1.0838561332986958e-16	8.76054229422552e-17	7.073323108662108e-17	5.703408527980501e-17	4.591125088803396e-17	3.6880217373140756e-17	2.9547593019094446e-17	2.359396879337492e-17	1.8760004893190308e-17
